Organization Name,Mission Statement,Website Link 
"The Hudson Players Guild, Inc","Organized exclusively for charitable and educational purposes to: Foster interest in dramatics and theatre; provide an organization for promotion of theatrical productions, for development of its members in dramatic abilities and techniques, for frie...",http://www.hudsonplayers.com
Angela's Zumbathon,Aid in adoption with placing children in a safe and permanent home.,http://www.angelaw.zumba.com
Byron Saunders Foundation,The Byron Saunders Foundation is a 501(c)(3) non-profit organization that provides Thanksgiving meals to needy families in Ohio.,http://www.OneMealAtATime.org
The Granted Wish Foundation,"The Granted Wish Foundation is a national, non-profit organization committed to granting wishes to disadvantaged or disabled individuals and families.",http://www.grantedwish.org
South Dayton Dance Theatre,"South Dayton Dance Theatre is a non-profit organization committed to inspiring young, pre-professional dancers to achieve their full potential through comprehensive dance training with an emphasis on ballet and modern technique. SDDT is dedicated to ...",http://www.sddt.org
Willowick ADD Support Group,"We are an AD/HD Support Group improving the lives of individuals with ADD/ADHD related problems through the support of their peers, open and thoughtful discussion, and listings of resources. This ADHD Support Group does not endorse products, services...",http://www.willowickaddgroup.org
WYANDOT COUNTY SALVATION ARMY,N/A,n/a
The Littlest Heroes,"to promote spiritual, emotional, social and physical healing of children living with cancer by providing and developing a total system of support that complements traditional health care",http://www.thelittlestheroes.org
The Lighthouse Pantry; at Christian Fellowship Church,"The Lighthouse Pantry works in association with the Food Hunger Network of Muskingum County, Ohio. Dispersing packaged food and grocery items to needy families, once per month, in the Nashport, Ohio area.",n/a
Feeding Medina County,"Feeding Medina County’s mission is to educate, engage and lead our community in creating an environment where no one goes hungry. We nourish our community with essential programs that put food on the table for children, families and seniors who...",http://www.feedingmedinacounty.org
The American Cancer Society's Relay For Life of Hilliard,"The American Cancer Society Relay For Life is a life-changing event that gives everyone in communities across the globe a chance to celebrate the lives of people who have battled cancer, remember loved ones lost, and fight back against the disease. A...",http://www.relayforlife.com/hilliard
ViaQuest Hospice West Carrolton,ViaQuest was founded with one principle in mind...CHOICE! ViaQuestfirmly believes in each person’s right to choose their future and it is our sole mission to make sure that each person we serve lives their life to the fullest extent possible ba...,http://viaquestinc.com
Pack 3085 St Paul Catholic Church,The mission of the Boy Scouts of America is to prepare young people to make ethical and moral choices over their lifetimes by instilling in them the values of the Scout Oath and Law.,http://www.stpaulcatholicchurch.org
Common Ground Free Store,Welcoming the Community to share in God's Love and Gifts.,http://www.commongroundfreestore.com
House of Hope for Alcoholics,To assist those who suffer from substance use disorders to achieve sobriety and thus become productive members of society by providing residential and outpatient services to adults regardless of ability to pay.,n/a
The Literacy Cooperative,The Literacy Cooperative workds to advance literacy through an effective service delivery system reflecting the highest standards in the field.,n/a
Cub Scout Pack 191,"Our volunteer parents work together to achieve the purposes of Cub Scouting, which include: 1) Character Development, 2) Spiritual Growth, 3) Good Citizenship, 4) Sportsmanship, 5) Family Understanding, 6) Respectful Relationships, 7) Personal Achiev...",n/a
"Vessel Work, Inc.","To deliver high-quality, positive productions that educate, entertain, and impact the lives of the community and its youth.",http://vesselwork.com
Western Reserve Playhouse,"Western Reserve Playhouse operates as an artistic outlet for local talent wishing to study and actively particiapte in all aspects of live theatre, in addition to providing live, quality entertainment for our community.",n/a
